id,content,ngram,final_features,tfidf_sum
522832405854298112,"Eleitores 'deveriam abandonar' Dilma e eleger Aécio, afirma revista The Economist - Economia - Geral - Estadão Mobile http://t.co/Om8AdNSgYh","['eleitores deveriam', 'deveriam abandonar', 'abandonar dilma', 'dilma eleger', 'eleger aécio', 'aécio afirma', 'afirma revista', 'revista the', 'the economist', 'economist economia', 'economia geral', 'geral estadão', 'estadão mobile', 'mobile httptcoom8adnsgyh']","(262144,[9438,16491,24391,28950,59804,60223,105454,124460,146169,162353,184044,193251,221265,260572],[8.905329532787219,8.29222505990081,0.0,8.905329532787219,8.762228689146546,9.6785194210207,8.379236436890439,9.6785194210207,8.831221560633498,7.973771328782275,8.985372240460755,8.905329532787219,9.16769379725471,9.524368741193442])",115.98914529466553
524009462345265153,Quando o Aécio começa a falar eu só escuto um monte de blá blá blá blá blá petrobas blá blá blá blá você está sendo leviana blá blá blá blá,"['aécio começa', 'começa falar', 'falar escuto', 'escuto monte', 'monte blá', 'blá blá', 'blá blá', 'blá blá', 'blá blá', 'blá petrobas', 'petrobas blá', 'blá blá', 'blá blá', 'blá blá', 'blá sendo', 'sendo leviana', 'leviana blá', 'blá blá', 'blá blá', 'blá blá']","(262144,[68866,99762,140481,149722,160530,199833,201400,210345,214012,235839,240563],[0.0,8.905329532787219,0.0,0.0,86.97690168008975,0.0,8.379236436890439,0.0,0.0,8.905329532787219,0.0])",113.16679718255463
522928423954808834,Qdo Aécio diz que Dilma quer governar MG ele quer dizer q se o PT perder o governo federal a cumpanherada vai baixar tudo aqui em Minas.,"['qdo aécio', 'aécio diz', 'diz dilma', 'dilma quer', 'quer governar', 'governar quer', 'quer dizer', 'dizer perder', 'perder governo', 'governo federal', 'federal cumpanherada', 'cumpanherada vai', 'vai baixar', 'baixar tudo', 'tudo aqui', 'aqui minas']","(262144,[23440,82854,86842,99157,116260,145460,159166,167338,173804,178690,179998,194716,224511,248254,259824,260223],[8.762228689146546,9.39083734856892,8.474546616694765,8.379236436890439,8.525839911082315,8.03629168576361,9.6785194210207,0.0,9.39083734856892,0.0,0.0,8.63706554619254,7.886759951792646,9.6785194210207,9.6785194210207,6.426853773329509])",112.94605557109232
522533501086621697,Horário político virou em Dilma acusa Aécio que acusa Dilma que acusa PSDB que acusa PT que acusa Aécio que acusa Dilma que acusa PSDB que..,"['horário político', 'político virou', 'virou dilma', 'dilma acusa', 'acusa aécio', 'aécio acusa', 'acusa dilma', 'dilma acusa', 'acusa psdb', 'psdb acusa', 'acusa acusa', 'acusa aécio', 'aécio acusa', 'acusa dilma', 'dilma acusa', 'acusa psdb']","(262144,[18361,35265,111658,118993,142756,161944,186924,211470,244813,260967],[18.33538759450942,19.048737482386883,0.0,28.17251204570676,8.525839911082315,0.0,18.78167469713784,0.0,0.0,18.14476723490077])",111.00891896572399
522876906798993408,'Ai nao vou votar no PT pq bla bla bla bla' 'Aecio sabe falar bem em debates e esta preparado e bla bla bla' 'Fui pra rua em junho bla bla',"['nao vou', 'vou votar', 'votar bla', 'bla bla', 'bla bla', 'bla bla', 'bla aecio', 'aecio sabe', 'sabe falar', 'falar bem', 'bem debates', 'debates preparado', 'preparado bla', 'bla bla', 'bla bla', 'bla pra', 'pra rua', 'rua junho', 'junho bla', 'bla bla']","(262144,[4253,13316,41664,56697,72669,74359,85853,109945,110118,174069,181059,186397,189936,198764,206726],[0.0,8.697690168008975,7.409835879702336,0.0,0.0,8.905329532787219,0.0,0.0,8.29222505990081,8.985372240460755,9.6785194210207,52.18614100805385,0.0,0.0,6.6419651529464545])",110.7970784628811
522863789331742720,"Dilma, pra variar, atacando o Aécio ao invés de falar sobre suas propostas e seu governo... Ta batendo o desespero #MudaBrasil #Aecio45","['dilma pra', 'pra variar', 'variar atacando', 'atacando aécio', 'aécio invés', 'invés falar', 'falar sobre', 'sobre propostas', 'propostas governo', 'governo batendo', 'batendo desespero', 'desespero mudabrasil', 'mudabrasil aecio45']","(262144,[9174,32869,33043,87174,100469,135847,137600,142252,159253,167391,178760,208655,222268],[9.273054312912537,9.6785194210207,9.524368741193442,0.0,9.6785194210207,9.524368741193442,9.6785194210207,9.524368741193442,7.9439183656325945,8.985372240460755,7.409835879702336,9.6785194210207,8.985372240460755])",109.8847369468321
522858756707598336,"""""""@JornalOGlobo: Aécio sobre Petrobras: 'a senhora sempre diz que não sabe de nada sobre esses casos. Então quem é responsável?' #DebateNoSBT""","['jornaloglobo aécio', 'aécio sobre', 'sobre petrobras', 'petrobras senhora', 'senhora sempre', 'sempre diz', 'diz sabe', 'sabe nada', 'nada sobre', 'sobre casos', 'casos então', 'então responsável', 'responsável debatenosbt']","(262144,[2086,19892,23972,99013,118224,130804,143012,169553,189059,230146,234994,242841,252231],[9.524368741193442,9.6785194210207,8.762228689146546,8.697690168008975,7.462945705016285,9.39083734856892,9.39083734856892,0.0,8.762228689146546,9.524368741193442,9.6785194210207,9.072383617450384,9.072383617450384])",109.01731150778524
522889730221178880,"🎷🎶🎶 ohhh Minas Gerais,  quem te conhece vota no Aécio,  ohhh Minas Gerais🎶🎵🎷🎷 ohhh Minas Gerais,  quem te conhece vota no Aécio🎶🎶🎶","['ohhh minas', 'minas gerais', 'gerais conhece', 'conhece vota', 'vota aécio', 'aécio ohhh', 'ohhh minas', 'minas gerais', 'gerais ohhh', 'ohhh minas', 'minas gerais', 'gerais conhece', 'conhece vota', 'vota aécio']","(262144,[34652,60437,65262,103129,128904,157004,231649],[17.05167982216463,17.299489246777664,15.829861657518684,8.251403065380556,12.021386752209194,29.0355582630621,9.524368741193442])",109.01374754830627
523848267080404994,PT usa fotos da esposa de Kadu Moliterno como sendo da esposa de Aécio. Quanta perversidade. @ElmoEdezio @fatimalima8 http://t.co/rqS5NugNen,"['usa fotos', 'fotos esposa', 'esposa kadu', 'kadu moliterno', 'moliterno sendo', 'sendo esposa', 'esposa aécio', 'aécio quanta', 'quanta perversidade', 'perversidade elmoedezio', 'elmoedezio fatimalima8', 'fatimalima8 httptcorqs5nugnen']","(262144,[33968,34002,56456,93604,107875,129625,173050,174112,178208,186749,233571,234645],[9.273054312912537,8.905329532787219,9.273054312912537,9.6785194210207,8.525839911082315,9.273054312912537,9.273054312912537,8.985372240460755,7.599077879340865,8.762228689146546,9.6785194210207,9.273054312912537])",108.50015865942177
522772136344449025,"""BEEI """"@Estadao: Lula ataca Aécio: Como alguém que se recusa a fazer o teste do bafômetro pode governar com decência? http://t.co/mS8ZSX4G26""""""","['beei estadao', 'estadao lula', 'lula ataca', 'ataca aécio', 'aécio alguém', 'alguém recusa', 'recusa fazer', 'fazer teste', 'teste bafômetro', 'bafômetro pode', 'pode governar', 'governar decência', 'decência httptcoms8zsx4g26']","(262144,[846,9041,35424,48926,82617,116337,124447,146464,167103,182322,194489,204821,223623],[8.251403065380556,0.0,8.174442024244426,9.16769379725471,9.524368741193442,9.39083734856892,8.985372240460755,9.6785194210207,8.762228689146546,9.273054312912537,8.212182352227273,9.273054312912537,9.273054312912537])",107.96621061823494
